ME	event	geneName	geneID	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	lengthDiff	mes3	mes5	conservation	neural_high_pred
chrX_-_149537373_149537376	putative_microexon_000345130	AC244197.3	ENSG00000241489	chrX	-	149537377	149538114	149536214	149537373	3	6.825350952744097	7.199632967475576	0.20104597737456018	0.060512934
chr5_+_61050636_61050641	putative_microexon_001341523	NDUFAF2	ENSG00000164182	chr5	+	60945383	61050636	61050642	61152703	5	2.5583369776613893	5.727980971819767	0.026080459908946235	0.00019794644
chr6_+_72302514_72302535	putative_microexon_001678958	RIMS1	ENSG00000079841	chr6	+	72292047	72302514	72302536	72390597	21	8.586269140212744	6.141689189703025	0.009105820232810128	0.013202733
chr14_+_76049766_76049774	putative_microexon_001700097	IFT43	ENSG00000119650	chr14	+	76022395	76049766	76049775	76082294	8	9.381077455301753	10.998354285522845	0.008289772796904965	0.19111483
chr6_+_25565350_25565357	putative_microexon_001702096	CARMIL1	ENSG00000079691	chr6	+	25556851	25565350	25565358	25580923	7	0.9369021567712335	6.431317036752582	0.00821142862218299	0.0003648566
chr14_+_67045868_67045873	putative_microexon_001499592	GPHN	ENSG00000171723	chr14	+	67023676	67045868	67045874	67058648	5	2.9526846560419027	7.254883717981968	0.01704597709588064	0.0006193565
chr8_-_73955646_73955663	putative_microexon_001556689	ELOC	ENSG00000154582	chr8	-	73955664	73955910	73941606	73955646	17	3.0090987990128673	6.991226153244384	0.014286486528864181	0.00027493708
chr1_+_16382842_16382845	putative_microexon_001558195	SZRD1	ENSG00000055070	chr1	+	16367309	16382842	16382846	16393230	3	2.8601694661593626	6.82455301473033	0.014218390859722364	6.7953326e-05
chr9_-_124375876_124375880	putative_microexon_000003977	PSMB7	ENSG00000136930	chr9	-	124375881	124384597	124356916	124375876	4	5.241490670484309	6.776469351134472	0.9701551733345821	0.00058857654
chr4_+_55872786_55872808	putative_microexon_000004521	EXOC1	ENSG00000090989	chr4	+	55871959	55872786	55872809	55877916	22	8.290187978456629	7.210547312975911	0.9606368447604933	0.053248778
chr4_+_102553874_102553891	putative_microexon_000005326	NFKB1	ENSG00000109320	chr4	+	102537957	102553874	102553892	102566986	17	5.384398394252988	8.553953182519951	0.9472540565439173	0.091416135
chr6_+_53907564_53907589	putative_microexon_000005733	LRRC1	ENSG00000137269	chr6	+	53904463	53907564	53907590	53913853	25	5.283557005226273	7.822941665554013	0.9397098455056934	0.032625157
chr8_+_109540725_109540735	putative_microexon_000616249	EBAG9	ENSG00000147654	chr8	+	109539920	109540725	109540736	109553864	10	0.9581447718909498	8.763777214457557	0.11706741576101316	0.0054978845
chr10_+_82976372_82976375	putative_microexon_000762748	NRG3	ENSG00000185737	chr10	+	82973916	82976372	82976376	82978949	3	1.678145328349094	5.7140609923016825	0.0887586207138428	0.0014091945
chr17_+_54902238_54902242	putative_microexon_000764172	TOM1L1	ENSG00000141198	chr17	+	54900924	54902238	54902243	54913747	4	6.443733730096455	9.845645332491873	0.08851724145024073	0.00027882733
chr17_-_15997054_15997062	putative_microexon_000748759	ZSWIM7	ENSG00000214941	chr17	-	15997063	15999518	15987369	15997054	8	2.062469579584859	9.095315133202252	0.09113068114278246	0.00019401031
chr19_-_18604014_18604024	putative_microexon_000021777	CRLF1	ENSG00000006016	chr19	-	18604025	18606541	18599847	18604014	10	0.8984141941380379	6.5960541810844315	0.7142415746701148	0.0021820862
chr6_+_73132143_73132164	putative_microexon_000023193	KCNQ5	ENSG00000185760	chr6	+	73120578	73132143	73132165	73190572	21	3.3725761385688235	11.368232509247544	0.7001534410377857	0.012814969
chr1_-_3836784_3836788	putative_microexon_000577174	CEP104	ENSG00000116198	chr1	-	3836789	3837291	3836693	3836784	4	2.0234158799621875	5.661141864127771	0.12609770183783325	0.004542563
chr9_-_23809200_23809203	putative_microexon_000577343	ELAVL2	ENSG00000107105	chr9	-	23809204	23825805	23762247	23809200	3	2.670523444581913	5.397415546429756	0.12605747129117814	0.00013692612
chr15_+_40703887_40703890	putative_microexon_000577707	RAD51	ENSG00000051180	chr15	+	40701202	40703887	40703891	40728710	3	0.6022452386295232	6.061321574261413	0.12597126491975316	0.001730222
chr3_-_55996272_55996275	putative_microexon_001542060	ERC2	ENSG00000187672	chr3	-	55996276	56007180	55992251	55996272	3	0.1345169280655376	8.394912539714692	0.014971264396478346	0.0008985885
chr4_+_153246091_153246096	putative_microexon_001518267	TRIM2	ENSG00000109654	chr4	+	153152613	153246091	153246097	153275892	5	6.316615026963901	5.415786059785461	0.01612643678685993	0.00017138956
chr6_+_25612050_25612053	putative_microexon_001487992	CARMIL1	ENSG00000079691	chr6	+	25610182	25612050	25612054	25619446	3	2.5838618403362537	7.682139214857222	0.017643678321198016	0.0016374977
chr6_+_4788107_4788112	putative_microexon_001718108	CDYL	ENSG00000153046	chr6	+	4734845	4788107	4788113	4935514	5	0.8378970426306531	6.226226559920013	0.007597701177777101	9.697012e-05
chr3_+_63869844_63869848	putative_microexon_001661040	ATXN7	ENSG00000285258	chr3	+	63865000	63869844	63869849	63898398	4	6.0555547699203505	7.907572119497001	0.00981609199742048	0.0001606639
chr4_+_87012664_87012667	putative_microexon_001355996	AFF1	ENSG00000172493	chr4	+	86948572	87012664	87012668	87084122	3	1.4740113193146318	6.683118199370094	0.025149425386649226	0.00017061636
chr1_-_37909633_37909637	putative_microexon_000326356	INPP5B	ENSG00000204084	chr1	-	37909638	37931912	37891455	37909633	4	8.951369555821001	5.686731848911775	0.20962068999464484	0.0001599139
chr16_+_56233660_56233664	putative_microexon_000328179	GNAO1	ENSG00000087258	chr16	+	56192617	56233660	56233665	56275930	4	5.6096021489027486	6.842372892947194	0.20874712616405933	8.7942084e-05
chr6_+_108378907_108378932	putative_microexon_000381598	AFG1L	ENSG00000135537	chr6	+	108366333	108378907	108378933	108447213	25	8.697688047260934	8.845521694983347	0.18580310865138885	0.23272175
chr4_+_76447300_76447303	putative_microexon_000382557	SHROOM3	ENSG00000138771	chr4	+	76436221	76447300	76447304	76555608	3	0.7483315226129134	10.567103914447587	0.18544252875030853	0.000166919
chr2_-_63311486_63311492	putative_microexon_000384243	WDPCP	ENSG00000143951	chr2	-	63311493	63313247	63174833	63311486	6	2.186936411659966	5.383046623709159	0.1847816084286776	0.00021929355
chr1_+_116375204_116375208	putative_microexon_000384468	ATP1A1	ENSG00000163399	chr1	+	116372922	116375204	116375209	116384013	4	1.4424202110872495	5.727980971819767	0.1846954025710858	0.00020175707
chr12_-_102479262_102479266	putative_microexon_000159173	IGF1	ENSG00000017427	chr12	-	102479267	102480318	102475800	102479262	4	3.9924225405237093	10.077444796486047	0.3257183905934444	0.0014719926
chr2_-_144284249_144284252	putative_microexon_000213988	GTDC1	ENSG00000121964	chr2	-	144284253	144332438	144235738	144284249	3	2.3720665651239727	7.63010963008345	0.2765057457934787	7.7288074e-05
chr2_+_105823680_105823683	putative_microexon_000883423	NCK2	ENSG00000071051	chr2	+	105816614	105823680	105823684	105855050	3	2.533251185770622	9.160326898507805	0.0702988507531198	0.00032658986
chr18_+_54877098_54877102	putative_microexon_000884843	RAB27B	ENSG00000041353	chr18	+	54718142	54877098	54877103	54877566	4	1.8239697498855016	6.966366250479104	0.07010344831920604	0.00047611565
chr14_+_101779761_101779765	putative_microexon_000907810	PPP2R5C	ENSG00000078304	chr14	+	101762971	101779761	101779766	101856685	4	4.23211346057621	8.678579115665348	0.06702873574023874	0.00012105782
chr17_-_62744755_62744758	putative_microexon_000908773	MARCH10	ENSG00000173838	chr17	-	62744759	62759834	62744526	62744755	3	3.652115010988365	9.460921594003064	0.06690229881814434	0.00020104558
chr3_-_64224905_64224909	putative_microexon_000272446	PRICKLE2	ENSG00000163637	chr3	-	64224910	64444482	64198968	64224905	4	0.08918817330583569	8.905129091297944	0.23762068882498932	0.00044043554
chr5_-_71038918_71038942	putative_microexon_000272939	GTF2H2	ENSG00000145736	chr5	-	71038943	71059689	71035685	71038918	24	5.7520422329997825	9.331905013045821	0.23733854198871995	0.0011637172
chr1_+_173869743_173869746	putative_microexon_000881714	ZBTB37	ENSG00000185278	chr1	+	173869121	173869743	173869747	173870199	3	3.7042844964463724	5.892950859255822	0.07052873567766349	0.0009293553
chr5_-_134612453_134612477	putative_microexon_000215882	SAR1B	ENSG00000152700	chr5	-	134612478	134612690	134609675	134612453	24	2.663462424652243	10.567103914447587	0.27501562459413736	0.008305525
chr9_-_108896890_108896900	putative_microexon_000161703	ELP1	ENSG00000070061	chr9	-	108896901	108896952	108896645	108896890	10	0.9224462255375427	5.489562243519604	0.3230674182198251	0.0019344828
chr6_+_70857126_70857129	putative_microexon_000161755	SMAP1	ENSG00000112305	chr6	+	70857031	70857126	70857130	70857921	3	1.709014527266809	5.800298824625148	0.3230114935779537	0.0032318225
chr17_+_45137891_45137912	putative_microexon_000162058	ACBD4	ENSG00000181513	chr17	+	45137831	45137891	45137913	45137922	21	5.992609241112984	5.630566612446825	0.32270370380307434	0.0030891662
chr8_-_134674888_134674907	putative_microexon_000380023	ZFAT	ENSG00000066827	chr8	-	134674908	134712844	134657738	134674888	19	6.938124657324216	5.605291090344844	0.18643850224580674	0.0026512558
chr5_-_27028830_27028834	putative_microexon_000324616	CDH9	ENSG00000113100	chr5	-	27028835	27121041	26988383	27028830	4	3.0304456988100363	6.167136290917265	0.2104540218976487	0.00179793
chr9_+_88445252_88445279	putative_microexon_001713463	SPIN1	ENSG00000106723	chr9	+	88426592	88445252	88445280	88448940	27	3.656491425570188	6.88708006967824	0.0077743589884052295	0.113094136
chr10_+_35455867_35455871	putative_microexon_001520473	CCNY	ENSG00000108100	chr10	+	35250627	35455867	35455872	35501500	4	0.9224980909434404	5.9835233818354725	0.01601724148508504	0.00032588633
chr4_-_86351205_86351210	putative_microexon_001544776	MAPK10	ENSG00000109339	chr4	-	86351211	86593909	86031432	86351205	5	0.9428906354838636	8.347518499340195	0.014839080506908953	0.00023461583
chr22_-_35958191_35958195	putative_microexon_000575566	RBFOX2	ENSG00000100320	chr22	-	35958196	36028239	35938898	35958191	4	3.4823637683384585	7.797632219989796	0.126477011537645	0.00092999666
chrX_-_109691405_109691408	putative_microexon_000016525	ACSL4	ENSG00000068366	chrX	-	109691409	109733138	109683373	109691405	3	0.13276693242077223	6.4892748367777076	0.7736839075230233	0.011030156
chr5_-_868602_868606	putative_microexon_000726417	BRD9	ENSG00000028310	chr5	-	868607	870472	865582	868602	4	3.82376872536423	7.878956672243344	0.09508620698243143	5.9948605e-05
chr11_-_46007165_46007172	putative_microexon_000753154	PHF21A	ENSG00000135365	chr11	-	46007173	46076753	45979967	46007165	7	0.7126206129902313	7.530673214170532	0.09038857115831758	0.0005607872
chr10_+_125849871_125849875	putative_microexon_000734605	BCCIP	ENSG00000107949	chr10	+	125841331	125849871	125849876	125853124	4	4.562329567990444	5.179097643666692	0.09363218369671604	0.00078022026
chr17_-_19863329_19863348	putative_microexon_000735728	ULK2	ENSG00000083290	chr17	-	19863349	19864802	19849775	19863329	19	5.950987959278601	10.169006710521085	0.09343315509302333	0.024183186
chr2_-_9547073_9547076	putative_microexon_000757725	ADAM17	ENSG00000151694	chr2	-	9547077	9555508	9527955	9547073	3	4.384249549677297	6.595796224915796	0.08959770131917756	0.0002973316
chr12_+_96560328_96560331	putative_microexon_000760327	CFAP54	ENSG00000188596	chr12	+	96554803	96560328	96560332	96564467	3	0.7740639433986399	7.19599346320882	0.0891609193239329	0.012044425
chr4_-_86435278_86435303	putative_microexon_000760985	MAPK10	ENSG00000109339	chr4	-	86435304	86593909	86031432	86435278	25	1.0519246045084298	6.987344860539003	0.08905181402239196	7.622645e-05
chr5_-_132703685_132703688	putative_microexon_000023820	KIF3A	ENSG00000131437	chr5	-	132703689	132710958	132703620	132703685	3	2.1869122809146337	8.8784602172727	0.6941264376737413	0.0006528069
chr17_+_57650649_57650673	putative_microexon_000026988	MSI2	ENSG00000153944	chr17	+	57627304	57650649	57650674	57652098	24	9.667020604460001	7.443137996526567	0.6656562493359767	0.25831118
chr18_+_24448902_24448925	putative_microexon_000027102	IMPACT	ENSG00000154059	chr18	+	24448184	24448902	24448926	24449818	23	9.994609593928175	6.436990633260832	0.664732984451855	0.01772625
chr10_+_123015645_123015649	putative_microexon_001513005	ACADSB	ENSG00000196177	chr10	+	123009068	123015645	123015650	123034355	4	0.2122369042226045	6.353738405382133	0.016379310379484563	0.0005410072
chr17_+_28663855_28663875	putative_microexon_001535671	SUPT6H	ENSG00000109111	chr17	+	28662343	28663855	28663876	28673370	20	1.436211018284738	5.5904099433560175	0.015276595762499826	0.000113787486
chr4_-_121679576_121679579	putative_microexon_001536308	ANXA5	ENSG00000164111	chr4	-	121679580	121696580	121678495	121679576	3	0.6865607643954337	8.394912539714692	0.015247126568868842	0.0006176243
chr9_+_89322041_89322045	putative_microexon_001538099	SECISBP2	ENSG00000187742	chr9	+	89319798	89322041	89322046	89325547	4	0.18457028200525077	7.982613375026591	0.015160919500959116	0.0020019847
chrX_+_15799573_15799597	putative_microexon_001601807	ZRSR2	ENSG00000169249	chrX	+	15791014	15799573	15799598	15799871	24	2.1057160512660076	5.397415546429756	0.01227604166524543	0.0011454261
chr3_+_66353199_66353203	putative_microexon_001704663	SLC25A26	ENSG00000144741	chr3	+	66346409	66353199	66353204	66362859	4	3.2695598277930564	6.6000487114052895	0.008109195529879338	0.00067545165
chr12_+_82399622_82399639	putative_microexon_001382491	METTL25	ENSG00000127720	chr12	+	82399395	82399622	82399640	82402982	17	1.3234179175685303	8.779843135135424	0.023529729758062074	0.0005164933
chr5_-_113102160_113102168	putative_microexon_001383342	MCC	ENSG00000171444	chr5	-	113102169	113104191	113101946	113102160	8	9.387930021882012	8.87834018121798	0.023477272483102173	0.0066052536
chr10_-_49078491_49078516	putative_microexon_000315305	VSTM4	ENSG00000165633	chr10	-	49078517	49085954	49077327	49078491	25	8.654851060818064	8.077039848725997	0.2149067363186638	0.088555396
chr7_+_38199227_38199231	putative_microexon_000227505	STARD3NL	ENSG00000010270	chr7	+	38178421	38199227	38199232	38207446	4	0.9299823452943965	8.977968008841875	0.2663448271917008	0.000111365356
